run_id,UNWIND_THRESHOLD_LONG,UNWIND_THRESHOLD_SHORT,TAKE_PROFIT_LONG,TAKE_PROFIT_SHORT,ASK_SKEW1,ASK_SKEW2,BID_SKEW1,BID_SKEW2,PRICE_OFFSET_ASK,PRICE_OFFSET_BID,total_pnl,pnl_EMERALDS,pnl_TOMATOES,duration_s
1,10,-10,10,-10,-1,-2,1,2,1,1,29964.5,14490.0,15474.5,1.93
2,10,-10,10,-10,-1,-2,1,2,1,2,28564.5,14490.0,14074.5,1.79
3,10,-10,10,-10,-1,-2,1,2,2,1,28657.5,14490.0,14167.5,1.78
4,10,-10,10,-10,-1,-2,1,2,2,2,27257.5,14490.0,12767.5,1.93
5,10,-10,10,-10,-1,-2,1,3,1,1,29964.5,14490.0,15474.5,1.78
6,10,-10,10,-10,-1,-2,1,3,1,2,28564.5,14490.0,14074.5,1.9
7,10,-10,10,-10,-1,-2,1,3,2,1,28657.5,14490.0,14167.5,1.81
8,10,-10,10,-10,-1,-2,1,3,2,2,27257.5,14490.0,12767.5,1.77
9,10,-10,10,-10,-1,-2,2,2,1,1,29964.5,14490.0,15474.5,1.76
10,10,-10,10,-10,-1,-2,2,2,1,2,28564.5,14490.0,14074.5,1.82
11,10,-10,10,-10,-1,-2,2,2,2,1,28657.5,14490.0,14167.5,1.97
12,10,-10,10,-10,-1,-2,2,2,2,2,27257.5,14490.0,12767.5,1.89
13,10,-10,10,-10,-1,-2,2,3,1,1,29964.5,14490.0,15474.5,1.94
14,10,-10,10,-10,-1,-2,2,3,1,2,28564.5,14490.0,14074.5,1.88
15,10,-10,10,-10,-1,-2,2,3,2,1,28657.5,14490.0,14167.5,1.99
16,10,-10,10,-10,-1,-2,2,3,2,2,27257.5,14490.0,12767.5,1.81
17,10,-10,10,-10,-1,-3,1,2,1,1,29964.5,14490.0,15474.5,1.79
18,10,-10,10,-10,-1,-3,1,2,1,2,28564.5,14490.0,14074.5,1.75
19,10,-10,10,-10,-1,-3,1,2,2,1,28657.5,14490.0,14167.5,1.76
20,10,-10,10,-10,-1,-3,1,2,2,2,27257.5,14490.0,12767.5,1.79
21,10,-10,10,-10,-1,-3,1,3,1,1,29964.5,14490.0,15474.5,1.77
22,10,-10,10,-10,-1,-3,1,3,1,2,28564.5,14490.0,14074.5,1.79
23,10,-10,10,-10,-1,-3,1,3,2,1,28657.5,14490.0,14167.5,1.81
24,10,-10,10,-10,-1,-3,1,3,2,2,27257.5,14490.0,12767.5,1.79
25,10,-10,10,-10,-1,-3,2,2,1,1,29964.5,14490.0,15474.5,1.9
