run_id,UNWIND_THRESHOLD_LONG,UNWIND_THRESHOLD_SHORT,TAKE_PROFIT_LONG,TAKE_PROFIT_SHORT,ASK_SKEW1,ASK_SKEW_LEVEL1,ASK_SKEW_LEVEL2,BID_SKEW_LEVEL1,BID_SKEW_LEVEL2,ASK_SKEW2,BID_SKEW1,BID_SKEW2,PRICE_OFFSET_ASK,PRICE_OFFSET_BID,total_pnl,pnl_EMERALDS,pnl_TOMATOES,duration_s
1,10,10,20,-20,-1,40,65,-40,-65,-2,1,2,1,1,30405.5,14490.0,15915.5,2.69
2,10,10,20,-20,-1,40,65,-40,-75,-2,1,2,1,1,30405.5,14490.0,15915.5,1.79
3,10,10,20,-20,-1,40,65,50,-65,-2,1,2,1,1,29000.5,14490.0,14510.5,1.76
4,10,10,20,-20,-1,40,65,50,-75,-2,1,2,1,1,29000.5,14490.0,14510.5,1.77
5,10,10,20,-20,-1,40,75,-40,-65,-2,1,2,1,1,30405.5,14490.0,15915.5,1.79
6,10,10,20,-20,-1,40,75,-40,-75,-2,1,2,1,1,30405.5,14490.0,15915.5,1.76
7,10,10,20,-20,-1,40,75,50,-65,-2,1,2,1,1,29000.5,14490.0,14510.5,1.78
8,10,10,20,-20,-1,40,75,50,-75,-2,1,2,1,1,29000.5,14490.0,14510.5,1.79
9,10,10,20,-20,-1,50,65,-40,-65,-2,1,2,1,1,30405.5,14490.0,15915.5,1.81
10,10,10,20,-20,-1,50,65,-40,-75,-2,1,2,1,1,30405.5,14490.0,15915.5,1.75
11,10,10,20,-20,-1,50,65,50,-65,-2,1,2,1,1,29000.5,14490.0,14510.5,1.76
12,10,10,20,-20,-1,50,65,50,-75,-2,1,2,1,1,29000.5,14490.0,14510.5,1.75
13,10,10,20,-20,-1,50,75,-40,-65,-2,1,2,1,1,30405.5,14490.0,15915.5,1.75
14,10,10,20,-20,-1,50,75,-40,-75,-2,1,2,1,1,30405.5,14490.0,15915.5,1.96
15,10,10,20,-20,-1,50,75,50,-65,-2,1,2,1,1,29000.5,14490.0,14510.5,1.74
16,10,10,20,-20,-1,50,75,50,-75,-2,1,2,1,1,29000.5,14490.0,14510.5,1.76
