run_id,IPR_MIN_LONG,IPR_ASK_SKEW_VOL,IPR_BID_SKEW_VOL1,IPR_BID_SKEW_VOL2,total_pnl,duration_s
1,40,30,10,40,0.0,0.5
2,40,30,10,50,0.0,0.33
3,40,30,10,60,0.0,0.48
4,40,30,20,40,0.0,0.69
5,40,30,20,50,0.0,0.64
6,40,30,20,60,0.0,0.62
7,40,30,30,40,0.0,0.69
8,40,30,30,50,0.0,0.52
9,40,30,30,60,0.0,0.6
10,40,40,10,40,0.0,0.51
11,40,40,10,50,0.0,0.48
12,40,40,10,60,0.0,0.45
13,40,40,20,40,0.0,0.37
14,40,40,20,50,0.0,0.34
15,40,40,20,60,0.0,0.35
16,40,40,30,40,0.0,0.35
17,40,40,30,50,0.0,0.41
18,40,40,30,60,0.0,0.35
19,40,50,10,40,0.0,0.34
20,40,50,10,50,0.0,0.34
21,40,50,10,60,0.0,0.34
22,40,50,20,40,0.0,0.33
23,40,50,20,50,0.0,0.36
24,40,50,20,60,0.0,0.37
25,40,50,30,40,0.0,0.35
26,40,50,30,50,0.0,0.35
27,40,50,30,60,0.0,0.35
28,50,30,10,40,0.0,0.34
29,50,30,10,50,0.0,0.35
30,50,30,10,60,0.0,0.34
31,50,30,20,40,0.0,0.34
32,50,30,20,50,0.0,0.37
33,50,30,20,60,0.0,0.35
34,50,30,30,40,0.0,0.34
35,50,30,30,50,0.0,0.33
36,50,30,30,60,0.0,0.35
37,50,40,10,40,0.0,0.34
38,50,40,10,50,0.0,0.35
39,50,40,10,60,0.0,0.63
40,50,40,20,40,0.0,0.38
41,50,40,20,50,0.0,0.35
42,50,40,20,60,0.0,0.35
43,50,40,30,40,0.0,0.34
44,50,40,30,50,0.0,0.51
45,50,40,30,60,0.0,0.35
46,50,50,10,40,0.0,0.33
47,50,50,10,50,0.0,0.35
48,50,50,10,60,0.0,0.35
49,50,50,20,40,0.0,0.34
50,50,50,20,50,0.0,0.34
51,50,50,20,60,0.0,0.34
52,50,50,30,40,0.0,0.34
53,50,50,30,50,0.0,0.34
54,50,50,30,60,0.0,0.34
55,60,30,10,40,0.0,0.33
56,60,30,10,50,0.0,0.34
57,60,30,10,60,0.0,0.33
58,60,30,20,40,0.0,0.33
59,60,30,20,50,0.0,0.33
60,60,30,20,60,0.0,0.33
61,60,30,30,40,0.0,0.34
62,60,30,30,50,0.0,0.34
63,60,30,30,60,0.0,0.33
64,60,40,10,40,0.0,0.38
65,60,40,10,50,0.0,0.33
66,60,40,10,60,0.0,0.34
67,60,40,20,40,0.0,0.35
68,60,40,20,50,0.0,0.35
69,60,40,20,60,0.0,0.33
70,60,40,30,40,0.0,0.34
71,60,40,30,50,0.0,0.35
72,60,40,30,60,0.0,0.34
73,60,50,10,40,0.0,0.33
74,60,50,10,50,0.0,0.36
75,60,50,10,60,0.0,0.36
76,60,50,20,40,0.0,0.33
77,60,50,20,50,0.0,0.33
78,60,50,20,60,0.0,0.34
79,60,50,30,40,0.0,0.34
80,60,50,30,50,0.0,0.34
81,60,50,30,60,0.0,0.33
