run_id,IPR_MIN_LONG,IPR_ASK_SKEW_VOL,IPR_BID_SKEW_VOL1,IPR_BID_SKEW_VOL2,total_pnl,pnl_ASH_COATED_OSMIUM,pnl_INTARIAN_PEPPER_ROOT,duration_s
1,40,30,10,40,248412.5,41194.5,207218.0,35.43
2,40,30,10,50,251141.5,41194.5,209947.0,35.7
3,40,30,10,60,252805.5,41194.5,211611.0,35.6
4,40,30,20,40,248401.5,41194.5,207207.0,36.36
5,40,30,20,50,251130.5,41194.5,209936.0,34.13
6,40,30,20,60,252794.5,41194.5,211600.0,34.36
7,40,30,30,40,248387.5,41194.5,207193.0,34.3
8,40,30,30,50,251116.5,41194.5,209922.0,34.34
9,40,30,30,60,252780.5,41194.5,211586.0,34.33
10,40,40,10,40,248412.5,41194.5,207218.0,34.11
11,40,40,10,50,251141.5,41194.5,209947.0,34.25
12,40,40,10,60,252805.5,41194.5,211611.0,34.25
13,40,40,20,40,248401.5,41194.5,207207.0,34.33
14,40,40,20,50,251130.5,41194.5,209936.0,34.5
15,40,40,20,60,252794.5,41194.5,211600.0,34.17
16,40,40,30,40,248387.5,41194.5,207193.0,34.47
17,40,40,30,50,251116.5,41194.5,209922.0,34.24
18,40,40,30,60,252780.5,41194.5,211586.0,34.37
19,40,50,10,40,248651.5,41194.5,207457.0,34.67
