run_id,ACO_UNWIND_THRESHOLD,ACO_TAKE_PROFIT,ACO_PRICE_OFFSET,ACO_PRC_SKEW1,ACO_PRC_SKEW2,ACO_SKEW_LEVEL1,ACO_SKEW_LEVEL2,ACO_MA_WINDOW,total_pnl,pnl_ASH_COATED_OSMIUM,pnl_INTARIAN_PEPPER_ROOT,duration_s
1,5,10,1,1,2,40,65,5,301139.0,52867.0,248272.0,10.92
2,5,10,1,1,2,40,65,10,301112.0,52840.0,248272.0,11.02
3,5,10,1,1,2,40,75,5,301139.0,52867.0,248272.0,10.99
4,5,10,1,1,2,40,75,10,301112.0,52840.0,248272.0,11.13
5,5,10,1,1,2,50,65,5,301214.0,52942.0,248272.0,10.98
6,5,10,1,1,2,50,65,10,301188.0,52916.0,248272.0,11.15
7,5,10,1,1,2,50,75,5,301214.0,52942.0,248272.0,11.06
8,5,10,1,1,2,50,75,10,301188.0,52916.0,248272.0,11.23
9,5,10,1,1,3,40,65,5,301139.0,52867.0,248272.0,11.07
10,5,10,1,1,3,40,65,10,301112.0,52840.0,248272.0,11.28
11,5,10,1,1,3,40,75,5,301139.0,52867.0,248272.0,10.98
12,5,10,1,1,3,40,75,10,301112.0,52840.0,248272.0,11.13
13,5,10,1,1,3,50,65,5,301214.0,52942.0,248272.0,11.0
14,5,10,1,1,3,50,65,10,301188.0,52916.0,248272.0,11.13
15,5,10,1,1,3,50,75,5,301214.0,52942.0,248272.0,10.97
16,5,10,1,1,3,50,75,10,301188.0,52916.0,248272.0,11.14
17,5,10,1,2,2,40,65,5,301048.0,52776.0,248272.0,11.0
18,5,10,1,2,2,40,65,10,301020.0,52748.0,248272.0,11.12
19,5,10,1,2,2,40,75,5,301048.0,52776.0,248272.0,10.96
20,5,10,1,2,2,40,75,10,301020.0,52748.0,248272.0,11.1
21,5,10,1,2,2,50,65,5,301198.0,52926.0,248272.0,10.9
22,5,10,1,2,2,50,65,10,301172.0,52900.0,248272.0,11.09
23,5,10,1,2,2,50,75,5,301198.0,52926.0,248272.0,11.1
24,5,10,1,2,2,50,75,10,301172.0,52900.0,248272.0,11.05
25,5,10,1,2,3,40,65,5,301048.0,52776.0,248272.0,11.03
26,5,10,1,2,3,40,65,10,301020.0,52748.0,248272.0,11.14
27,5,10,1,2,3,40,75,5,301048.0,52776.0,248272.0,11.13
28,5,10,1,2,3,40,75,10,301020.0,52748.0,248272.0,11.16
29,5,10,1,2,3,50,65,5,301198.0,52926.0,248272.0,10.97
30,5,10,1,2,3,50,65,10,301172.0,52900.0,248272.0,11.17
31,5,10,1,2,3,50,75,5,301198.0,52926.0,248272.0,10.94
32,5,10,1,2,3,50,75,10,301172.0,52900.0,248272.0,11.15
33,5,10,2,1,2,40,65,5,294938.0,46666.0,248272.0,11.11
34,5,10,2,1,2,40,65,10,294917.0,46645.0,248272.0,11.17
35,5,10,2,1,2,40,75,5,294938.0,46666.0,248272.0,10.94
36,5,10,2,1,2,40,75,10,294917.0,46645.0,248272.0,11.11
37,5,10,2,1,2,50,65,5,295013.0,46741.0,248272.0,10.92
38,5,10,2,1,2,50,65,10,294993.0,46721.0,248272.0,11.05
39,5,10,2,1,2,50,75,5,295013.0,46741.0,248272.0,11.0
40,5,10,2,1,2,50,75,10,294993.0,46721.0,248272.0,11.1
41,5,10,2,1,3,40,65,5,294938.0,46666.0,248272.0,10.94
42,5,10,2,1,3,40,65,10,294917.0,46645.0,248272.0,11.13
43,5,10,2,1,3,40,75,5,294938.0,46666.0,248272.0,11.05
44,5,10,2,1,3,40,75,10,294917.0,46645.0,248272.0,11.19
45,5,10,2,1,3,50,65,5,295013.0,46741.0,248272.0,11.05
46,5,10,2,1,3,50,65,10,294993.0,46721.0,248272.0,11.12
47,5,10,2,1,3,50,75,5,295013.0,46741.0,248272.0,11.0
48,5,10,2,1,3,50,75,10,294993.0,46721.0,248272.0,11.13
49,5,10,2,2,2,40,65,5,294847.0,46575.0,248272.0,11.02
50,5,10,2,2,2,40,65,10,294825.0,46553.0,248272.0,11.19
51,5,10,2,2,2,40,75,5,294847.0,46575.0,248272.0,10.99
52,5,10,2,2,2,40,75,10,294825.0,46553.0,248272.0,11.09
53,5,10,2,2,2,50,65,5,294997.0,46725.0,248272.0,10.97
54,5,10,2,2,2,50,65,10,294977.0,46705.0,248272.0,11.15
55,5,10,2,2,2,50,75,5,294997.0,46725.0,248272.0,10.95
56,5,10,2,2,2,50,75,10,294977.0,46705.0,248272.0,11.07
57,5,10,2,2,3,40,65,5,294847.0,46575.0,248272.0,11.02
58,5,10,2,2,3,40,65,10,294825.0,46553.0,248272.0,11.02
59,5,10,2,2,3,40,75,5,294847.0,46575.0,248272.0,233.79
60,5,10,2,2,3,40,75,10,294825.0,46553.0,248272.0,13.09
61,5,10,2,2,3,50,65,5,294997.0,46725.0,248272.0,11.37
62,5,10,2,2,3,50,65,10,294977.0,46705.0,248272.0,11.23
63,5,10,2,2,3,50,75,5,294997.0,46725.0,248272.0,11.06
64,5,10,2,2,3,50,75,10,294977.0,46705.0,248272.0,11.07
65,5,20,1,1,2,40,65,5,301603.5,53331.5,248272.0,11.06
66,5,20,1,1,2,40,65,10,301627.0,53355.0,248272.0,11.09
67,5,20,1,1,2,40,75,5,301603.5,53331.5,248272.0,10.97
68,5,20,1,1,2,40,75,10,301627.0,53355.0,248272.0,11.09
69,5,20,1,1,2,50,65,5,301768.5,53496.5,248272.0,10.98
70,5,20,1,1,2,50,65,10,301800.0,53528.0,248272.0,11.15
71,5,20,1,1,2,50,75,5,301768.5,53496.5,248272.0,11.06
72,5,20,1,1,2,50,75,10,301800.0,53528.0,248272.0,11.11
73,5,20,1,1,3,40,65,5,301603.5,53331.5,248272.0,10.98
74,5,20,1,1,3,40,65,10,301627.0,53355.0,248272.0,11.17
75,5,20,1,1,3,40,75,5,301603.5,53331.5,248272.0,10.91
76,5,20,1,1,3,40,75,10,301627.0,53355.0,248272.0,11.07
77,5,20,1,1,3,50,65,5,301768.5,53496.5,248272.0,10.91
78,5,20,1,1,3,50,65,10,301800.0,53528.0,248272.0,11.11
79,5,20,1,1,3,50,75,5,301768.5,53496.5,248272.0,10.95
80,5,20,1,1,3,50,75,10,301800.0,53528.0,248272.0,11.19
81,5,20,1,2,2,40,65,5,301371.5,53099.5,248272.0,10.9
82,5,20,1,2,2,40,65,10,301412.0,53140.0,248272.0,11.04
83,5,20,1,2,2,40,75,5,301371.5,53099.5,248272.0,10.91
84,5,20,1,2,2,40,75,10,301412.0,53140.0,248272.0,11.1
85,5,20,1,2,2,50,65,5,301701.5,53429.5,248272.0,11.02
86,5,20,1,2,2,50,65,10,301758.0,53486.0,248272.0,11.29
87,5,20,1,2,2,50,75,5,301701.5,53429.5,248272.0,10.88
88,5,20,1,2,2,50,75,10,301758.0,53486.0,248272.0,11.05
89,5,20,1,2,3,40,65,5,301371.5,53099.5,248272.0,10.93
90,5,20,1,2,3,40,65,10,301412.0,53140.0,248272.0,11.1
91,5,20,1,2,3,40,75,5,301371.5,53099.5,248272.0,10.97
92,5,20,1,2,3,40,75,10,301412.0,53140.0,248272.0,11.12
93,5,20,1,2,3,50,65,5,301701.5,53429.5,248272.0,10.93
94,5,20,1,2,3,50,65,10,301758.0,53486.0,248272.0,11.12
95,5,20,1,2,3,50,75,5,301701.5,53429.5,248272.0,10.97
96,5,20,1,2,3,50,75,10,301758.0,53486.0,248272.0,11.16
97,5,20,2,1,2,40,65,5,295418.5,47146.5,248272.0,10.97
98,5,20,2,1,2,40,65,10,295440.0,47168.0,248272.0,11.13
99,5,20,2,1,2,40,75,5,295418.5,47146.5,248272.0,10.99
100,5,20,2,1,2,40,75,10,295440.0,47168.0,248272.0,11.11
101,5,20,2,1,2,50,65,5,295583.5,47311.5,248272.0,10.98
102,5,20,2,1,2,50,65,10,295613.0,47341.0,248272.0,11.12
103,5,20,2,1,2,50,75,5,295583.5,47311.5,248272.0,10.99
104,5,20,2,1,2,50,75,10,295613.0,47341.0,248272.0,11.1
105,5,20,2,1,3,40,65,5,295418.5,47146.5,248272.0,11.03
106,5,20,2,1,3,40,65,10,295440.0,47168.0,248272.0,11.23
107,5,20,2,1,3,40,75,5,295418.5,47146.5,248272.0,11.16
108,5,20,2,1,3,40,75,10,295440.0,47168.0,248272.0,11.11
109,5,20,2,1,3,50,65,5,295583.5,47311.5,248272.0,10.97
110,5,20,2,1,3,50,65,10,295613.0,47341.0,248272.0,11.1
111,5,20,2,1,3,50,75,5,295583.5,47311.5,248272.0,10.87
112,5,20,2,1,3,50,75,10,295613.0,47341.0,248272.0,11.16
113,5,20,2,2,2,40,65,5,295186.5,46914.5,248272.0,11.0
114,5,20,2,2,2,40,65,10,295225.0,46953.0,248272.0,11.05
115,5,20,2,2,2,40,75,5,295186.5,46914.5,248272.0,10.93
116,5,20,2,2,2,40,75,10,295225.0,46953.0,248272.0,11.09
117,5,20,2,2,2,50,65,5,295516.5,47244.5,248272.0,10.96
118,5,20,2,2,2,50,65,10,295571.0,47299.0,248272.0,11.11
119,5,20,2,2,2,50,75,5,295516.5,47244.5,248272.0,10.9
120,5,20,2,2,2,50,75,10,295571.0,47299.0,248272.0,11.15
121,5,20,2,2,3,40,65,5,295186.5,46914.5,248272.0,11.12
122,5,20,2,2,3,40,65,10,295225.0,46953.0,248272.0,11.08
123,5,20,2,2,3,40,75,5,295186.5,46914.5,248272.0,10.96
124,5,20,2,2,3,40,75,10,295225.0,46953.0,248272.0,11.02
125,5,20,2,2,3,50,65,5,295516.5,47244.5,248272.0,10.93
126,5,20,2,2,3,50,65,10,295571.0,47299.0,248272.0,11.05
127,5,20,2,2,3,50,75,5,295516.5,47244.5,248272.0,11.03
128,5,20,2,2,3,50,75,10,295571.0,47299.0,248272.0,11.07
129,5,30,1,1,2,40,65,5,301693.5,53421.5,248272.0,10.93
130,5,30,1,1,2,40,65,10,301664.0,53392.0,248272.0,11.02
131,5,30,1,1,2,40,75,5,301693.5,53421.5,248272.0,10.94
132,5,30,1,1,2,40,75,10,301664.0,53392.0,248272.0,11.03
133,5,30,1,1,2,50,65,5,301913.5,53641.5,248272.0,10.92
134,5,30,1,1,2,50,65,10,301869.0,53597.0,248272.0,11.11
135,5,30,1,1,2,50,75,5,301913.5,53641.5,248272.0,11.0
136,5,30,1,1,2,50,75,10,301869.0,53597.0,248272.0,11.07
137,5,30,1,1,3,40,65,5,301693.5,53421.5,248272.0,10.9
138,5,30,1,1,3,40,65,10,301664.0,53392.0,248272.0,11.07
139,5,30,1,1,3,40,75,5,301693.5,53421.5,248272.0,10.8
140,5,30,1,1,3,40,75,10,301664.0,53392.0,248272.0,11.08
141,5,30,1,1,3,50,65,5,301913.5,53641.5,248272.0,10.89
142,5,30,1,1,3,50,65,10,301869.0,53597.0,248272.0,11.07
143,5,30,1,1,3,50,75,5,301913.5,53641.5,248272.0,10.93
144,5,30,1,1,3,50,75,10,301869.0,53597.0,248272.0,11.09
145,5,30,1,2,2,40,65,5,301360.5,53088.5,248272.0,10.96
146,5,30,1,2,2,40,65,10,301348.0,53076.0,248272.0,11.1
147,5,30,1,2,2,40,75,5,301360.5,53088.5,248272.0,10.85
148,5,30,1,2,2,40,75,10,301348.0,53076.0,248272.0,11.05
149,5,30,1,2,2,50,65,5,301800.5,53528.5,248272.0,11.03
150,5,30,1,2,2,50,65,10,301758.0,53486.0,248272.0,11.03
151,5,30,1,2,2,50,75,5,301800.5,53528.5,248272.0,10.96
152,5,30,1,2,2,50,75,10,301758.0,53486.0,248272.0,11.03
153,5,30,1,2,3,40,65,5,301360.5,53088.5,248272.0,10.96
154,5,30,1,2,3,40,65,10,301348.0,53076.0,248272.0,11.06
155,5,30,1,2,3,40,75,5,301360.5,53088.5,248272.0,10.9
156,5,30,1,2,3,40,75,10,301348.0,53076.0,248272.0,11.08
157,5,30,1,2,3,50,65,5,301800.5,53528.5,248272.0,10.95
158,5,30,1,2,3,50,65,10,301758.0,53486.0,248272.0,11.06
159,5,30,1,2,3,50,75,5,301800.5,53528.5,248272.0,10.94
160,5,30,1,2,3,50,75,10,301758.0,53486.0,248272.0,11.04
161,5,30,2,1,2,40,65,5,295533.5,47261.5,248272.0,10.98
162,5,30,2,1,2,40,65,10,295507.0,47235.0,248272.0,10.96
163,5,30,2,1,2,40,75,5,295533.5,47261.5,248272.0,10.94
164,5,30,2,1,2,40,75,10,295507.0,47235.0,248272.0,11.06
165,5,30,2,1,2,50,65,5,295753.5,47481.5,248272.0,10.92
166,5,30,2,1,2,50,65,10,295712.0,47440.0,248272.0,11.06
167,5,30,2,1,2,50,75,5,295753.5,47481.5,248272.0,10.95
168,5,30,2,1,2,50,75,10,295712.0,47440.0,248272.0,11.08
169,5,30,2,1,3,40,65,5,295533.5,47261.5,248272.0,10.95
170,5,30,2,1,3,40,65,10,295507.0,47235.0,248272.0,11.03
171,5,30,2,1,3,40,75,5,295533.5,47261.5,248272.0,10.87
172,5,30,2,1,3,40,75,10,295507.0,47235.0,248272.0,11.11
173,5,30,2,1,3,50,65,5,295753.5,47481.5,248272.0,10.96
174,5,30,2,1,3,50,65,10,295712.0,47440.0,248272.0,11.05
175,5,30,2,1,3,50,75,5,295753.5,47481.5,248272.0,10.96
176,5,30,2,1,3,50,75,10,295712.0,47440.0,248272.0,11.11
177,5,30,2,2,2,40,65,5,295200.5,46928.5,248272.0,10.9
178,5,30,2,2,2,40,65,10,295191.0,46919.0,248272.0,11.09
179,5,30,2,2,2,40,75,5,295200.5,46928.5,248272.0,10.94
180,5,30,2,2,2,40,75,10,295191.0,46919.0,248272.0,10.99
181,5,30,2,2,2,50,65,5,295640.5,47368.5,248272.0,10.95
182,5,30,2,2,2,50,65,10,295601.0,47329.0,248272.0,11.02
183,5,30,2,2,2,50,75,5,295640.5,47368.5,248272.0,10.86
184,5,30,2,2,2,50,75,10,295601.0,47329.0,248272.0,11.04
185,5,30,2,2,3,40,65,5,295200.5,46928.5,248272.0,10.91
186,5,30,2,2,3,40,65,10,295191.0,46919.0,248272.0,11.03
187,5,30,2,2,3,40,75,5,295200.5,46928.5,248272.0,10.91
188,5,30,2,2,3,40,75,10,295191.0,46919.0,248272.0,11.04
189,5,30,2,2,3,50,65,5,295640.5,47368.5,248272.0,10.9
190,5,30,2,2,3,50,65,10,295601.0,47329.0,248272.0,11.05
191,5,30,2,2,3,50,75,5,295640.5,47368.5,248272.0,10.95
192,5,30,2,2,3,50,75,10,295601.0,47329.0,248272.0,11.07
193,10,10,1,1,2,40,65,5,301077.0,52805.0,248272.0,10.86
194,10,10,1,1,2,40,65,10,301200.0,52928.0,248272.0,11.07
195,10,10,1,1,2,40,75,5,301077.0,52805.0,248272.0,10.92
196,10,10,1,1,2,40,75,10,301200.0,52928.0,248272.0,10.99
197,10,10,1,1,2,50,65,5,301159.0,52887.0,248272.0,10.94
198,10,10,1,1,2,50,65,10,301278.0,53006.0,248272.0,11.04
199,10,10,1,1,2,50,75,5,301159.0,52887.0,248272.0,10.88
200,10,10,1,1,2,50,75,10,301278.0,53006.0,248272.0,11.02
